,classification
154,0
90,0
175,0
36,1
65,0
1116,1
989,1
1409,1
860,0
411,0
72,0
271,1
1124,0
523,0
1282,1
1501,0
1138,0
780,1
974,1
1173,1
179,0
653,1
79,0
808,0
1067,1
589,1
1499,1
9,0
249,1
96,0
1532,1
323,1
44,0
1555,1
499,1
1347,0
183,0
1217,1
300,1
545,0
280,1
1053,1
87,0
215,0
1250,1
498,1
733,0
448,1
1155,0
559,1
148,1
1257,1
193,0
1031,1
1420,0
1528,1
748,1
1050,0
1214,1
715,1
266,0
1245,0
1406,1
887,1
387,1
698,0
161,0
919,1
1512,1
489,1
1293,0
1064,1
1495,1
1249,1
1159,0
782,0
1399,1
1174,1
233,0
446,0
590,0
758,0
1180,1
1125,1
1551,0
423,1
828,1
1596,1
32,0
858,1
612,1
1167,1
309,1
263,0
851,0
1032,0
1056,1
1489,1
1291,1
587,0
576,0
992,1
822,0
722,0
350,1
1303,0
487,1
1150,1
293,1
1027,0
1077,0
699,1
1314,1
1164,0
864,0
980,1
98,0
1203,0
674,1
865,0
1361,0
550,1
1598,1
1394,0
1259,1
1163,0
7,1
1353,0
1072,1
615,0
578,0
1317,1
1034,1
1083,1
10,0
1096,1
803,1
312,1
621,0
1415,0
832,0
1015,1
360,0
1518,0
863,0
933,0
385,1
424,0
701,1
1219,1
1076,1
1438,0
1393,0
940,1
543,1
476,0
1241,0
1246,0
984,0
823,0
648,1
49,0
708,1
1152,0
1047,0
283,1
320,1
119,1
901,1
376,1
810,0
628,1
936,1
549,1
811,1
1221,1
232,1
885,0
818,0
1416,0
918,1
880,0
358,1
405,1
1151,1
1500,0
1101,1
1453,0
1457,0
1100,1
1237,1
1234,1
941,1
1592,1
114,0
812,0
746,1
288,1
574,1
361,1
217,0
261,0
840,1
1556,0
270,1
855,1
788,1
564,1
540,0
1123,1
1355,0
1025,1
1486,0
793,0
736,0
247,0
675,0
970,1
601,1
1540,1
251,1
366,1
478,0
1313,1
1200,1
1189,0
1471,0
1024,1
886,1
25,0
1398,1
187,0
118,1
866,1
157,0
