,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol
592,0.45,0.49,2.6,0.084,21.0,75.0,3.35,0.57,9.7
1427,0.41,0.33,2.5,0.078,6.0,23.0,3.3,0.58,11.2
1112,0.33,0.41,1.5,0.056,6.0,35.0,3.29,0.71,11.0
414,0.52,0.34,2.7,0.087,24.0,122.0,3.26,0.61,9.5
318,0.66,0.39,3.2,0.083,21.0,59.0,3.37,0.71,11.5
870,0.715,0.01,2.1,0.064,31.0,43.0,3.41,0.57,11.8
173,0.62,0.05,1.9,0.068,24.0,42.0,3.42,0.57,11.5
1596,0.51,0.13,2.3,0.076,29.0,40.0,3.42,0.75,11.0
939,0.46,0.17,1.6,0.073,7.0,11.0,3.61,0.54,11.4
1445,0.785,0.19,5.2,0.094,19.0,98.0,3.16,0.52,9.6
1395,0.685,0.1,1.6,0.092,3.0,12.0,3.31,0.65,9.55
936,0.3,0.38,2.3,0.06,19.0,72.0,3.39,0.72,11.8
250,0.32,0.44,1.6,0.063,16.0,37.0,3.22,0.78,10.0
1368,0.77,0.32,2.1,0.079,16.0,74.0,3.27,0.5,9.8
782,0.82,0.05,2.4,0.081,26.0,96.0,3.36,0.53,10.0
1283,0.63,0.28,2.7,0.096,17.0,69.0,3.26,0.63,10.2
1406,0.24,0.34,5.1,0.062,8.0,22.0,3.22,0.94,10.9
1075,0.25,0.34,2.0,0.071,45.0,67.0,3.44,0.86,10.2
39,0.45,0.36,5.9,0.07400000000000001,12.0,87.0,3.33,0.83,10.5
172,0.42,0.17,2.0,0.073,6.0,18.0,3.29,0.61,9.2
202,0.5,0.11,1.5,0.075,16.0,49.0,3.36,0.79,9.5
1594,0.6,0.08,2.0,0.09,32.0,44.0,3.45,0.58,10.5
1123,0.4,0.37,1.9,0.081,17.0,29.0,3.12,0.65,11.2
1037,0.91,0.1,1.8,0.07400000000000001,20.0,56.0,3.35,0.56,9.2
351,0.795,0.0,2.6,0.096,11.0,26.0,3.35,0.83,9.4
1272,0.46,0.0,1.9,0.077,25.0,44.0,3.5,0.53,11.2
1148,0.39,0.42,2.0,0.086,9.0,21.0,3.39,0.66,11.6
238,0.63,0.0,1.9,0.097,14.0,38.0,3.37,0.58,9.0
1438,0.59,0.0,1.7,0.052000000000000005,3.0,8.0,3.41,0.47,10.3
1103,0.49,0.27,2.1,0.071,14.0,25.0,3.35,0.63,12.0
674,0.4,0.41,2.2,0.084,7.0,17.0,3.08,0.67,9.3
852,0.42,0.32,2.5,0.08,26.0,122.0,3.22,1.07,9.7
1174,0.36,0.31,1.7,0.079,26.0,65.0,3.46,0.62,9.5
602,0.835,0.0,2.6,0.081,6.0,14.0,3.3,0.52,9.3
631,0.28,0.54,2.7,0.105,5.0,19.0,3.25,0.63,9.5
1222,0.53,0.22,2.2,0.078,33.0,89.0,3.26,0.46,9.6
664,0.4,0.52,2.0,0.092,15.0,54.0,3.03,0.66,10.2
671,0.73,0.21,1.7,0.07400000000000001,5.0,13.0,3.2,0.52,9.5
1516,0.32,0.25,2.3,0.071,23.0,58.0,3.42,0.97,10.6
858,0.28,0.47,1.7,0.054000000000000006,17.0,32.0,3.15,0.67,10.6
670,0.4,0.24,2.5,0.083,30.0,45.0,3.26,0.58,10.0
619,0.37,0.41,2.3,0.08800000000000001,6.0,16.0,3.09,0.8,9.3
650,0.43,0.39,2.2,0.106,8.0,32.0,2.89,0.5,9.6
1529,0.69,0.08,2.1,0.063,42.0,52.0,3.42,0.6,10.2
1497,0.74,0.03,2.3,0.054000000000000006,7.0,16.0,3.45,0.63,11.5
1540,0.52,0.08,4.4,0.071,11.0,32.0,3.56,0.63,11.6
810,0.49,0.1,2.6,0.068,4.0,14.0,3.3,0.47,10.5
1149,0.35,0.47,2.0,0.061,6.0,11.0,3.23,0.52,12.0
994,0.35,0.45,2.5,0.092,20.0,88.0,3.15,0.43,9.4
833,0.47,0.44,1.6,0.147,36.0,51.0,3.38,0.86,9.9
1376,0.885,0.2,1.4,0.086,7.0,31.0,3.11,0.46,10.0
1347,0.655,0.03,1.8,0.078,7.0,12.0,3.34,0.39,9.5
123,0.71,0.0,2.6,0.08,11.0,34.0,3.44,0.53,9.5
574,0.34,0.49,3.2,0.078,20.0,78.0,3.19,0.7,10.0
1400,0.69,0.21,2.1,0.08,33.0,141.0,3.25,0.51,9.9
56,0.42,0.57,3.4,0.07,4.0,10.0,3.04,0.63,9.6
986,0.34,0.39,1.4,0.066,3.0,7.0,3.19,0.55,11.4
1135,0.25,0.43,1.7,0.067,22.0,50.0,3.38,0.6,11.9
857,0.26,0.34,2.5,0.073,16.0,47.0,3.4,0.78,11.3
200,0.32,0.47,1.4,0.056,9.0,24.0,3.22,0.82,10.3
1089,0.41,0.54,1.5,0.095,22.0,41.0,3.02,0.76,9.9
273,0.715,0.2,2.4,0.076,10.0,38.0,3.31,0.64,9.4
1009,0.5,0.36,2.8,0.116,26.0,55.0,3.18,0.68,10.9
907,0.56,0.0,2.2,0.079,6.0,9.0,3.59,0.54,11.5
902,0.635,0.1,2.4,0.08,16.0,33.0,3.58,0.69,10.8
761,0.655,0.26,2.0,0.096,5.0,35.0,3.25,0.42,9.6
28,0.71,0.0,1.9,0.08,14.0,35.0,3.47,0.55,9.4
1229,0.43,0.29,2.1,0.075,19.0,66.0,3.4,0.64,9.5
288,0.52,0.09,2.5,0.091,20.0,49.0,3.34,0.86,10.6
714,0.74,0.28,2.6,0.078,21.0,77.0,3.28,0.51,9.8
533,0.27,0.24,2.1,0.07200000000000001,15.0,33.0,3.22,0.66,12.8
948,0.12,0.45,1.8,0.075,10.0,21.0,3.41,0.76,11.9
1173,0.36,0.31,1.7,0.079,26.0,65.0,3.46,0.62,9.5
766,0.59,0.18,2.9,0.08900000000000001,12.0,74.0,3.14,0.54,9.4
1202,0.42,0.39,1.8,0.068,6.0,12.0,3.35,0.69,11.7
696,0.65,0.02,2.1,0.066,8.0,25.0,3.47,0.67,9.5
1128,0.43,0.33,2.7,0.095,28.0,89.0,3.22,0.68,10.0
678,0.78,0.1,2.6,0.081,45.0,87.0,3.48,0.53,10.0
706,0.78,0.08,2.0,0.093,10.0,19.0,3.4,0.47,10.0
1449,0.38,0.31,2.0,0.056,15.0,29.0,3.23,0.76,11.3
1504,0.38,0.57,2.3,0.106,5.0,12.0,3.36,0.55,11.4
29,0.645,0.0,2.0,0.08199999999999999,8.0,16.0,3.38,0.59,9.8
1060,0.23,0.57,1.8,0.07400000000000001,3.0,8.0,3.14,0.7,9.9
10,0.58,0.08,1.8,0.097,15.0,65.0,3.28,0.54,9.2
575,0.27,0.49,3.1,0.079,28.0,46.0,3.2,0.8,10.2
1307,0.68,0.09,3.9,0.068,15.0,29.0,3.41,0.52,11.1
976,0.41,0.3,2.1,0.083,35.0,72.0,3.44,0.52,9.4
586,0.31,0.49,2.7,0.094,16.0,47.0,3.12,1.02,10.6
423,0.24,0.47,2.1,0.066,6.0,24.0,3.15,0.9,11.0
969,0.56,0.09,2.9,0.079,7.0,22.0,3.46,0.61,10.2
394,0.6,0.65,2.3,0.063,6.0,25.0,3.03,0.57,9.9
408,0.34,0.58,3.7,0.174,6.0,16.0,3.19,0.7,11.3
877,0.715,0.01,2.1,0.064,31.0,43.0,3.41,0.57,11.8
915,0.315,0.4,2.2,0.079,3.0,6.0,3.27,0.67,11.9
87,0.49,0.26,1.9,0.062,9.0,31.0,3.39,0.64,9.6
1325,0.46,0.24,1.7,0.077,18.0,34.0,3.39,0.6,10.6
112,0.6,0.1,2.2,0.085,14.0,111.0,3.15,0.66,9.8
1543,0.44,0.42,2.2,0.064,14.0,19.0,3.25,0.57,10.4
1290,0.74,0.0,1.9,0.1,6.0,12.0,3.36,0.59,11.0
1569,0.51,0.14,1.9,0.056,15.0,34.0,3.48,0.57,11.5
607,0.48,0.41,3.3,0.092,26.0,52.0,3.31,0.53,10.5
306,0.62,0.32,2.2,0.08199999999999999,7.0,54.0,3.36,0.52,9.4
529,0.63,0.24,2.4,0.077,6.0,33.0,3.09,0.57,9.4
947,0.28,0.48,2.1,0.093,6.0,12.0,3.26,0.62,12.4
214,0.735,0.08,2.4,0.092,10.0,41.0,3.24,0.71,9.8
897,0.59,0.01,2.3,0.08,27.0,43.0,3.42,0.58,10.7
693,0.48,0.32,2.8,0.084,21.0,122.0,3.32,0.62,9.4
1308,0.69,0.32,2.5,0.08800000000000001,22.0,91.0,3.29,0.62,10.1
742,0.615,0.0,1.9,0.065,9.0,18.0,3.46,0.65,9.2
1333,0.775,0.22,2.2,0.079,12.0,48.0,3.18,0.51,9.6
1522,0.32,0.25,2.3,0.071,23.0,58.0,3.42,0.97,10.6
1509,0.18,0.4,1.8,0.062,7.0,20.0,3.28,0.7,11.1
140,0.745,0.11,1.9,0.09,16.0,63.0,3.19,0.82,9.6
867,0.51,0.23,2.0,0.07200000000000001,13.0,22.0,3.4,0.84,11.2
661,0.42,0.31,1.6,0.08,15.0,42.0,3.31,0.64,9.0
426,0.67,0.08,2.1,0.045,19.0,48.0,3.49,0.49,11.4
1005,0.36,0.32,1.8,0.067,4.0,8.0,3.36,0.55,12.8
1359,0.475,0.4,1.4,0.091,6.0,28.0,3.07,0.65,10.0333333333333
717,0.46,0.11,2.6,0.079,12.0,49.0,3.21,0.57,10.0
1332,0.39,0.1,1.7,0.075,6.0,25.0,3.09,0.43,9.7
196,0.58,0.3,2.4,0.07400000000000001,15.0,55.0,3.46,0.59,10.2
262,0.52,0.03,1.7,0.07,10.0,35.0,3.34,0.57,10.0
1457,0.49,0.33,1.9,0.07400000000000001,27.0,85.0,3.41,0.58,9.0
943,0.5,0.34,2.3,0.094,10.0,45.0,3.24,0.6,9.7
1163,0.785,0.24,1.7,0.078,10.0,21.0,3.29,0.67,10.0
25,0.39,0.16,1.4,0.08,11.0,23.0,3.34,0.56,9.3
203,0.42,0.35,1.6,0.08800000000000001,16.0,39.0,3.34,0.55,9.2
505,0.49,0.63,2.9,0.07200000000000001,10.0,26.0,3.16,0.78,12.5
1337,0.5,0.0,1.4,0.057,15.0,26.0,3.36,0.45,9.5
