,classification
389,1
278,1
563,1
663,1
1441,1
487,1
435,0
804,1
518,1
1046,1
601,1
78,0
314,0
1160,1
1545,1
1567,0
298,0
890,0
260,0
1013,1
32,0
1060,1
195,0
807,1
1067,1
1117,1
1516,0
519,0
1050,0
123,0
477,1
1304,0
759,0
625,0
974,1
1394,0
1428,0
224,0
377,1
192,0
1472,1
1209,1
1121,1
1362,1
411,0
793,0
577,0
1222,1
1230,1
108,1
993,0
34,0
1129,1
677,0
704,0
819,0
949,1
160,0
908,1
1379,1
1324,1
991,0
1310,0
1308,0
1542,1
1564,0
1345,1
1411,1
424,0
527,1
27,0
10,0
570,1
98,0
1307,0
1138,0
767,0
798,1
485,0
1094,1
783,0
117,1
438,1
1471,0
1347,0
408,1
551,1
1451,1
1530,1
382,1
319,1
393,0
541,1
256,0
1158,1
788,1
775,0
1354,0
148,1
351,1
1149,1
1137,1
516,1
576,0
1027,0
939,0
360,0
277,1
292,1
407,1
107,0
1353,0
287,1
512,1
1226,0
1322,0
1053,1
158,0
1329,1
12,0
936,1
631,0
986,1
301,1
1110,1
1568,0
1578,1
990,0
161,0
114,0
422,0
1535,1
69,1
96,0
706,0
1382,0
586,1
465,0
349,1
1152,0
813,0
1401,0
194,0
524,0
1590,1
1265,1
1328,0
922,1
1420,0
594,0
624,0
223,1
835,0
200,1
346,1
173,1
818,0
1213,1
242,1
1598,1
85,0
1229,0
598,1
952,1
1518,0
1443,0
70,1
67,0
1586,1
1100,1
587,0
16,1
174,0
448,1
1271,1
550,1
697,1
459,0
909,1
683,0
178,0
1145,1
446,0
1267,1
1440,1
729,1
1318,1
738,0
765,1
1279,1
103,0
295,0
1439,1
1341,1
235,1
202,0
1404,1
1513,1
1194,1
1107,1
344,1
241,1
840,1
62,1
1127,1
1383,0
857,1
1173,1
1520,1
1557,1
55,0
1336,0
1066,1
1220,1
452,1
1479,0
110,0
177,1
640,0
774,1
859,1
1191,0
358,1
453,1
22,0
356,0
881,1
1268,1
1240,0
1432,1
1331,0
470,0
702,1
36,1
867,1
525,0
1166,0
439,0
59,1
732,0
886,1
583,1
379,1
488,1
1334,0
733,0
1529,1
183,0
118,1
409,0
1313,1
1206,1
1184,0
401,1
486,0
136,0
1225,0
1393,0
1391,0
128,1
47,0
1429,0
1133,1
1466,1
842,1
111,0
1442,0
1375,0
1408,1
528,1
1592,1
642,0
1096,1
1039,1
1251,0
746,1
979,0
,classification
79,0
1595,1
1134,1
50,0
1579,0
1431,1
1274,1
1403,1
138,0
683,0
924,0
1073,1
960,1
1172,1
756,1
1110,1
1507,1
248,1
190,0
425,1
466,1
148,1
266,0
962,0
1478,0
687,0
1039,1
1140,1
349,1
346,1
1543,1
872,0
518,1
387,1
1469,0
345,0
1563,0
36,1
215,0
166,0
529,0
632,1
750,0
1360,0
167,0
71,0
761,0
1385,0
48,0
172,1
1571,1
794,1
1503,1
1410,1
1038,1
497,0
948,1
879,0
1393,0
1559,0
806,1
74,0
187,0
1322,0
1123,1
174,0
296,0
487,1
552,1
561,0
1192,1
412,0
866,1
214,1
193,0
117,1
966,1
1341,1
786,0
255,0
1337,0
1485,0
854,1
498,1
52,1
1549,1
1195,1
1433,1
158,0
1135,1
814,1
332,1
416,1
835,0
1116,1
99,1
764,1
1162,1
973,0
1170,1
1276,0
60,0
843,0
329,0
979,0
812,0
1255,0
273,0
282,0
252,0
645,1
647,0
1106,1
1054,1
1011,1
211,1
1100,1
713,0
1565,1
850,0
1034,1
474,1
995,1
830,0
165,0
251,1
220,1
485,0
1030,1
599,1
971,1
242,1
1506,1
751,0
107,0
601,1
1378,1
1459,1
262,0
394,0
527,1
975,0
280,1
186,0
877,1
417,0
967,0
1361,0
1084,1
662,1
1530,1
203,0
286,1
677,0
949,1
176,0
1345,1
548,1
1328,0
278,1
1525,0
985,1
1375,0
344,1
1187,1
1560,0
620,0
1145,1
1540,1
572,0
825,0
1454,1
714,0
1016,1
1012,0
686,0
581,0
39,0
511,1
1310,0
1204,1
1464,0
1258,1
1320,0
1282,1
594,0
805,1
766,0
156,0
1008,1
1569,1
1439,1
64,0
1418,0
1528,1
1585,1
1249,1
285,0
1234,1
1344,0
314,0
1236,1
1105,0
