,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol
421,0.84,0.03,2.3,0.059,32.0,48.0,3.52,0.56,12.3
688,0.66,0.04,1.6,0.039,4.0,9.0,3.4,0.47,9.4
129,0.38,0.15,1.8,0.07200000000000001,6.0,19.0,3.42,0.57,9.4
662,0.57,0.06,1.6,0.076,9.0,27.0,3.36,0.7,9.6
425,0.84,0.03,2.3,0.059,32.0,48.0,3.52,0.56,12.3
1285,0.37,0.5,1.8,0.09,20.0,47.0,3.15,0.57,10.5
1015,0.39,0.46,2.2,0.075,14.0,27.0,3.06,0.84,11.4
1093,0.31,0.36,2.2,0.079,11.0,31.0,3.33,0.86,12.0
311,0.53,0.24,2.0,0.07200000000000001,15.0,105.0,3.27,0.54,9.4
1245,0.55,0.19,1.8,0.08199999999999999,15.0,34.0,3.49,0.68,10.5
141,0.715,0.15,1.8,0.08900000000000001,10.0,52.0,3.23,0.77,9.5
389,0.38,0.31,2.5,0.096,16.0,49.0,3.19,0.7,10.0
1217,0.34,0.37,1.9,0.057,43.0,74.0,3.23,0.81,12.0
921,0.36,0.32,2.2,0.081,32.0,79.0,3.3,0.72,11.0
622,0.58,0.22,1.9,0.08,9.0,32.0,3.13,0.55,9.5
232,0.37,0.2,2.8,0.09,18.0,58.0,3.34,0.7,9.6
490,0.775,0.27,2.8,0.078,24.0,56.0,3.31,0.67,10.6
918,0.36,0.32,2.2,0.081,32.0,79.0,3.3,0.72,11.0
114,0.56,0.19,1.8,0.104,12.0,47.0,3.19,0.93,9.5
1045,0.44,0.0,1.4,0.07,32.0,38.0,3.32,0.58,11.4
961,0.56,0.14,1.6,0.078,7.0,18.0,3.27,0.62,9.3
763,0.655,0.26,2.0,0.096,5.0,35.0,3.25,0.42,9.6
1529,0.69,0.08,2.1,0.063,42.0,52.0,3.42,0.6,10.2
8,0.58,0.02,2.0,0.073,9.0,18.0,3.36,0.57,9.5
986,0.34,0.39,1.4,0.066,3.0,7.0,3.19,0.55,11.4
196,0.58,0.3,2.4,0.07400000000000001,15.0,55.0,3.46,0.59,10.2
1326,0.46,0.24,1.7,0.077,18.0,34.0,3.39,0.6,10.6
857,0.26,0.34,2.5,0.073,16.0,47.0,3.4,0.78,11.3
1351,0.62,0.01,2.3,0.065,8.0,46.0,3.32,0.51,11.8
841,0.66,0.0,3.0,0.115,21.0,31.0,3.45,0.63,10.3
678,0.78,0.1,2.6,0.081,45.0,87.0,3.48,0.53,10.0
1008,0.35,0.4,3.6,0.11,12.0,24.0,3.23,0.7,12.0
267,0.35,0.46,3.6,0.078,15.0,37.0,3.35,0.86,12.8
978,0.4,0.32,3.6,0.061,9.0,29.0,3.28,0.49,11.3
237,0.645,0.0,1.9,0.097,15.0,39.0,3.37,0.58,9.2
1304,0.79,0.21,2.3,0.087,21.0,68.0,3.12,0.44,9.2
234,1.0,0.09,2.3,0.065,7.0,37.0,3.32,0.55,9.0
1208,0.36,0.46,2.1,0.07400000000000001,24.0,44.0,3.4,0.85,11.0
1369,0.61,0.0,1.6,0.069,4.0,8.0,3.33,0.37,10.4
1332,0.39,0.1,1.7,0.075,6.0,25.0,3.09,0.43,9.7
1252,0.72,0.0,1.8,0.123,6.0,14.0,3.45,0.58,9.8
478,0.68,0.24,2.2,0.087,5.0,28.0,3.14,0.6,10.2
1560,0.6,0.26,2.0,0.08,31.0,131.0,3.21,0.52,9.9
575,0.27,0.49,3.1,0.079,28.0,46.0,3.2,0.8,10.2
1029,0.58,0.01,1.8,0.08800000000000001,12.0,18.0,3.32,0.56,10.5
