,classification
1229,0
677,0
704,0
273,0
77,1
1033,1
786,0
835,0
921,1
897,1
89,0
42,1
202,0
676,1
861,1
1330,1
1556,0
523,0
1473,0
1038,1
1290,0
790,1
856,1
659,0
605,1
1212,1
400,0
697,1
1531,0
824,0
1012,0
115,1
359,1
696,1
802,1
1550,0
337,0
532,0
706,0
969,0
231,1
792,1
98,0
1292,1
1223,1
609,1
481,1
1200,1
1064,1
1400,0
1122,1
1424,1
63,0
378,1
574,1
158,0
913,1
203,0
1425,1
569,1
820,0
895,1
540,0
15,0
320,1
111,0
929,1
1208,1
840,1
1300,1
719,0
255,0
382,1
928,0
718,0
503,1
252,0
417,0
214,1
1385,0
1264,1
479,1
933,0
684,0
701,1
1360,0
1506,1
948,1
145,0
107,0
1592,1
729,1
260,0
1554,1
305,1
1427,0
1395,1
1254,0
765,1
863,0
455,1
636,0
99,1
1492,0
248,1
451,1
1042,1
1238,0
168,1
314,0
878,1
873,1
256,0
1481,0
1312,0
1455,1
932,1
882,1
623,1
1384,0
610,0
954,1
940,1
1339,1
317,1
1025,1
269,1
1375,0
285,0
68,0
1464,0
1274,1
188,0
859,1
1039,1
1180,1
230,1
138,0
1060,1
1028,1
432,1
8,1
1202,1
1269,1
1544,1
717,0
391,1
1559,0
1172,1
1067,1
70,1
688,0
1260,0
566,1
630,1
1563,0
1309,0
1268,1
133,1
1514,1
459,0
34,0
843,0
1114,1
237,1
879,0
950,1
520,1
1089,1
1010,1
1362,1
169,0
1429,0
514,1
645,1
123,0
768,1
71,0
347,1
496,1
796,0
855,1
335,1
939,0
1051,0
458,1
489,1
1201,1
1117,1
1099,0
622,0
375,1
1256,0
647,0
1057,0
1564,0
983,1
3,1
212,1
1320,0
1408,1
259,1
1106,1
945,1
1391,0
120,0
1255,0
1449,1
1020,1
390,1
743,0
783,0
664,0
1111,1
1092,1
660,1
1220,1
529,0
1397,0
150,1
1275,1
44,0
1046,1
1551,0
1023,1
53,0
956,1
534,1
83,0
590,0
370,0
795,0
72,0
1543,1
1132,1
910,1
139,0
1590,1
1515,1
836,1
515,0
194,0
1163,0
463,0
114,0
619,0
1476,0
1562,0
632,1
1171,1
903,1
325,1
480,0
1493,0
1454,1
570,1
385,1
1423,0
419,0
37,1
690,0
763,0
94,0
156,0
1393,0
1139,1
1500,0
617,1
366,1
974,1
1242,1
926,1
554,0
1150,1
293,1
801,0
724,0
961,0
575,1
267,1
434,1
709,1
558,1
484,1
295,0
441,1
1081,1
166,0
1396,0
1488,0
247,0
555,0
475,0
507,1
1398,1
1380,1
165,0
833,0
695,1
1019,0
1147,1
1569,1
1144,0
1443,0
565,0
594,0
341,1
1373,0
125,0
373,0
274,0
1205,1
454,0
648,1
1077,0
104,0
240,0
694,0
289,0
1075,1
,classification
249,1
114,0
88,0
1513,1
119,1
1305,0
863,0
1502,0
1434,1
211,1
1207,0
362,0
1286,1
404,0
165,0
526,0
781,0
1184,0
219,0
904,1
929,1
1356,0
833,0
1189,0
1206,1
949,1
1141,1
535,1
551,1
498,1
12,0
616,0
255,0
837,1
577,0
593,0
877,1
1199,1
779,0
444,1
731,0
650,0
