,classification
588,1
1409,1
598,1
695,1
627,0
161,0
1086,1
808,0
204,1
960,1
1060,1
1143,1
683,0
82,0
103,0
702,1
926,1
382,1
1063,1
368,0
165,0
1473,0
919,1
707,0
975,0
1311,1
1291,1
248,1
484,1
871,0
2,0
166,0
1372,0
859,1
1406,1
1261,0
1400,0
1221,1
900,0
113,1
797,1
502,1
664,0
350,1
1303,0
1219,1
1577,1
1064,1
1014,1
1216,1
306,0
1204,1
225,1
526,0
488,1
320,1
230,1
379,1
635,0
806,1
1446,0
686,0
589,1
864,0
1544,1
1055,1
857,1
1277,1
746,1
1517,1
1551,0
711,0
1,0
471,1
1087,1
587,0
472,1
160,0
191,1
180,0
1541,1
48,0
535,1
1273,0
1031,1
713,0
315,1
544,1
954,1
1152,0
862,0
417,0
1175,1
967,0
1415,0
141,0
961,0
1079,1
1153,1
1390,1
758,0
338,1
982,1
968,1
564,1
316,0
1015,1
278,1
1470,0
1173,1
511,1
1278,1
519,0
995,1
1564,0
650,0
1174,1
1314,1
439,0
284,0
280,1
888,1
983,1
843,0
53,0
879,0
481,1
272,0
381,1
1596,1
38,0
1365,0
949,1
1161,1
663,1
129,0
366,1
242,1
319,1
120,0
3,1
716,0
92,0
791,0
751,0
530,1
667,1
1494,1
652,0
781,0
20,1
543,1
748,1
1405,1
172,1
1499,1
1140,1
782,0
849,0
972,1
356,0
890,0
1394,0
800,0
190,0
1244,1
833,0
170,0
1495,1
893,0
942,1
1058,1
185,0
1316,1
1272,0
364,1
221,0
163,0
887,1
55,0
1598,1
1502,0
1308,0
908,1
233,0
467,1
409,0
1040,0
766,0
1018,1
973,0
1149,1
606,1
1218,1
696,1
1101,1
76,0
1048,1
300,1
648,1
1364,1
1537,1
1035,1
720,0
858,1
219,0
1531,0
1425,1
276,1
618,0
1348,0
308,1
595,0
1242,1
1479,0
304,0
876,0
555,0
639,1
78,0
1249,1
80,0
443,1
1436,0
5,0
183,0
1383,0
752,0
836,1
1306,0
1448,0
786,0
1341,1
1305,0
1571,1
718,0
263,0
1552,1
420,1
855,1
106,0
1226,0
1250,1
217,0
477,1
1493,0
483,0
1426,1
1451,1
1317,1
232,1
1434,1
1516,0
321,0
654,0
620,0
19,1
1267,1
760,0
1003,1
1190,1
50,0
541,1
1597,0
124,0
699,1
965,1
289,0
1377,1
674,1
359,1
994,0
54,1
1168,1
26,0
622,0
231,1
1337,0
497,0
1343,1
362,0
922,1
369,1
216,0
712,0
724,0
792,1
427,1
918,1
1332,1
1476,0
1325,1
1396,0
11,0
102,1
1539,0
1254,0
629,0
911,1
341,1
332,1
433,0
203,0
435,0
523,0
299,0
1137,1
525,0
832,0
1067,1
1591,1
1309,0
754,1
1449,1
1360,0
1327,1
826,1
938,1
1128,0
1106,1
913,1
367,0
561,0
1357,1
894,1
1043,1
313,0
1547,0
1255,0
1579,0
981,0
1505,0
227,0
1319,1
1335,1
1089,1
1141,1
605,1
281,1
1411,1
425,1
1533,0
347,1
721,0
1296,0
1538,0
1107,1
149,1
714,0
823,0
255,0
984,0
1565,1
295,0
755,1
675,0
1163,0
1169,1
75,0
378,1
260,0
732,0
750,0
1282,1
789,0
447,0
999,1
623,1
1238,0
152,0
1424,1
96,0
462,0
375,1
1522,0
1280,1
1284,0
1262,0
434,1
1240,0
226,1
1471,0
473,0
646,0
256,0
157,0
681,1
902,1
807,1
400,0
565,0
1419,0
1045,1
1069,0
489,1
61,0
617,1
1162,1
1534,1
621,0
1286,1
1481,0
247,0
1403,1
307,1
1150,1
214,1
1265,1
340,1
1248,1
1443,0
952,1
993,0
187,0
23,0
1427,0
342,1
1462,1
1300,1
1342,1
218,0
189,0
355,1
1483,0
162,1
1440,1
642,0
962,0
1380,1
228,1
207,0
422,0
358,1
1029,1
1076,1
1338,0
40,0
1573,1
759,0
733,0
583,1
905,0
1559,0
1520,1
935,1
688,0
1044,1
254,1
363,0
104,0
491,1
1185,1
1038,1
924,0
202,0
159,1
578,0
1461,0
426,1
1159,0
1125,1
1268,1
1104,1
39,0
1020,1
1139,1
34,0
768,1
401,1
1138,0
25,0
137,0
1065,1
1084,1
1397,0
470,0
442,1
1053,1
581,0
22,0
283,1
267,1
986,1
1016,1
1554,1
651,0
575,1
1061,1
117,1
145,0
303,0
556,1
736,0
1022,0
496,1
1013,1
771,0
261,0
286,1
71,0
1224,1
6,0
100,1
90,0
1026,1
1028,1
44,0
1546,0
1334,0
1543,1
551,1
463,0
1066,1
1078,0
301,1
863,0
668,0
662,1
64,0
1009,0
1275,1
1329,1
1235,0
933,0
337,0
566,1
209,1
769,0
57,0
655,0
644,0
87,0
1475,1
958,1
1285,0
1036,1
1485,0
710,0
778,0
582,0
1202,1
1115,1
1241,0
1005,1
1407,1
352,0
909,1
521,0
1514,1
817,1
611,0
1574,1
700,1
840,1
1118,1
1463,1
677,0
495,1
1124,0
114,0
344,1
829,1
552,1
1347,0
772,0
594,0
14,0
687,0
1068,1
694,0
1116,1
1017,1
1532,1
1501,0
288,1
584,1
188,0
910,1
329,0
144,1
244,1
1486,0
1445,1
482,0
719,0
1331,0
915,1
925,1
479,1
917,1
597,1
684,0
1008,1
504,1
1512,1
1231,0
1438,0
336,1
548,1
514,1
1576,1
33,1
991,0
1294,1
1080,1
1491,0
867,1
725,0
666,1
1147,1
1252,0
585,1
576,0
1518,0
1480,0
1498,1
1237,1
1387,0
30,0
197,1
1095,0
1567,0
1197,1
649,1
1212,1
1120,1
730,0
1590,1
377,1
398,1
486,0
133,1
246,0
1109,1
1071,0
1527,1
601,1
722,0
883,0
1170,1
89,0
63,0
1090,1
240,0
438,1
1130,1
1569,1
466,1
294,1
395,1
229,0
285,0
1253,0
1122,1
536,0
1322,0
1037,0
249,1
372,1
899,0
128,1
636,0
928,0
370,0
704,0
895,1
793,0
79,0
81,0
1024,1
1215,1
1098,1
568,1
130,0
201,0
412,0
139,0
1399,1
1575,1
1178,0
335,1
1474,0
109,0
1239,0
596,1
878,1
963,1
211,1
920,0
388,1
1102,1
1258,1
777,1
891,0
861,1
1330,1
815,0
333,0
235,1
906,0
18,0
1352,0
508,1
1000,1
1246,0
236,1
70,1
324,1
790,1
487,1
322,0
325,1
567,1
500,1
441,1
1420,0
537,1
624,0
396,0
1392,0
872,0
1081,1
1290,0
1214,1
460,1
252,0
685,0
1455,1
959,0
809,1
357,1
1295,0
912,1
1154,1
134,1
459,0
1312,0
389,1
586,1
1023,1
1050,0
287,1
599,1
661,0
869,1
1313,1
1466,1
971,1
1456,1
1490,1
73,0
723,0
1245,0
101,1
1381,0
1376,0
1384,0
1589,0
464,1
1431,1
1369,0
88,0
1096,1
1375,0
234,1
279,1
640,0
1578,1
927,0
614,1
1361,0
132,0
1093,1
290,1
553,0
774,1
882,1
1333,0
657,1
865,0
345,0
506,1
108,1
184,1
