,classification
18,0
867,1
1544,1
1522,0
880,0
668,0
706,0
760,0
1161,1
175,0
1467,0
1124,0
127,0
1411,1
290,1
922,1
67,0
369,1
180,0
1375,0
1338,0
593,0
772,0
1243,0
893,0
1252,0
1254,0
168,1
1068,1
302,0
432,1
60,0
1368,1
170,0
1430,0
7,1
988,0
580,0
1573,1
779,0
1327,1
1566,1
877,1
1515,1
1520,1
21,0
187,0
1488,0
1146,1
1454,1
574,1
944,1
191,1
1120,1
697,1
441,1
879,0
571,1
1000,1
301,1
560,0
306,0
1025,1
471,1
1202,1
839,0
501,1
1551,0
896,1
816,1
1406,1
954,1
194,0
599,1
45,0
437,1
372,1
1305,0
1505,0
1016,1
1448,0
113,1
1107,1
1045,1
793,0
1192,1
292,1
101,1
1441,1
766,0
612,1
14,0
711,0
1035,1
1572,0
413,1
795,0
1043,1
974,1
636,0
289,0
932,1
352,0
567,1
528,1
237,1
1026,1
224,0
414,0
968,1
853,1
555,0
1247,0
550,1
1132,1
953,1
29,1
1270,1
1426,1
46,0
1549,1
489,1
497,0
961,0
320,1
821,1
976,0
1559,0
875,1
1262,0
190,0
800,0
119,1
703,0
235,1
1506,1
695,1
315,1
533,1
1225,0
151,0
137,0
694,0
157,0
141,0
325,1
1190,1
1168,1
785,0
1583,0
220,1
303,0
459,0
746,1
412,0
898,1
47,0
217,0
1226,0
947,1
314,0
1436,0
617,1
1206,1
824,0
1267,1
90,0
133,1
1227,0
239,1
1447,0
1184,0
496,1
530,1
1478,0
366,1
114,0
634,0
482,0
1010,1
241,1
640,0
8,1
1503,1
849,0
1269,1
1396,0
1335,1
1196,1
13,0
902,1
42,1
1556,0
71,0
428,0
891,0
970,1
1550,0
519,0
545,0
1409,1
158,0
132,0
1482,0
1537,1
981,0
1002,1
453,1
1171,1
364,1
551,1
1445,1
473,0
319,1
1220,1
500,1
1316,1
171,1
1145,1
556,1
812,0
263,0
1029,1
256,0
547,1
838,1
1348,0
165,0
561,0
406,1
1394,0
1524,1
214,1
715,1
1589,0
1204,1
140,0
650,0
1013,1
215,0
611,0
1434,1
273,0
152,0
355,1
683,0
1086,1
121,1
1512,1
257,0
788,1
1364,1
1234,1
427,1
1009,0
803,1
829,1
44,0
31,1
469,0
863,0
1519,0
1100,1
568,1
1277,1
1341,1
1095,0
1587,1
408,1
1581,0
508,1
626,0
809,1
146,0
1148,1
546,1
578,0
1017,1
1373,0
618,0
1201,1
957,1
443,1
993,0
126,0
480,0
758,0
1135,1
488,1
135,0
340,1
660,1
1052,0
1497,1
1293,0
16,1
77,1
129,0
379,1
1122,1
183,0
1077,0
1286,1
1585,1
305,1
192,0
783,0
485,0
1037,0
1494,1
1028,1
481,1
878,1
5,0
465,0
541,1
1104,1
1349,0
476,0
210,1
,classification
1431,1
50,0
685,0
604,1
1335,1
189,0
509,1
22,0
1144,0
640,0
356,0
143,0
1100,1
1308,0
503,1
825,0
1214,1
45,0
145,0
378,1
1127,1
79,0
1152,0
1556,0
765,1
891,0
1428,0
128,1
1227,0
682,0
502,1
401,1
1445,1
692,0
90,0
1595,1
943,1
880,0
1519,0
59,1
760,0
1161,1
529,0
353,0
147,0
131,0
1407,1
1160,1
1356,0
1451,1
781,0
818,0
221,0
1444,1
1080,1
928,0
1176,0
806,1
397,1
1076,1
1446,0
1198,1
500,1
1349,0
708,1
167,0
1072,1
18,0
963,1
1383,0
1145,1
86,1
1091,1
360,0
480,0
959,0
312,1
976,0
506,1
511,1
1347,0
443,1
166,0
1029,1
1484,0
1516,0
88,0
676,1
1416,0
568,1
127,0
829,1
1359,1
116,1
267,1
388,1
749,1
499,1
1384,0
1432,1
912,1
1387,0
505,1
1097,0
134,1
226,1
663,1
1092,1
294,1
946,1
861,1
40,0
452,1
1538,0
1009,0
1511,0
1304,0
1517,1
1203,0
1581,0
803,1
1500,0
988,0
1498,1
1115,1
846,0
1001,1
190,0
1010,1
1105,0
73,0
222,0
767,0
332,1
107,0
1251,0
71,0
115,1
510,0
721,0
91,1
435,0
696,1
840,1
1463,1
589,1
1079,1
35,1
561,0
1496,0
1256,0
364,1
734,0
1292,1
1319,1
667,1
833,0
737,1
1199,1
1215,1
186,0
49,0
144,1
1530,1
205,1
380,1
6,0
1162,1
1154,1
1237,1
162,1
21,0
10,0
794,1
1059,1
1454,1
198,1
537,1
933,0
978,1
1570,1
1414,0
1164,0
574,1
1269,1
305,1
346,1
64,0
362,0
1066,1
1244,1
994,0
219,0
180,0
1200,1
617,1
437,1
207,0
716,0
881,1
181,0
884,1
1196,1
96,0
1248,1
1508,1
92,0
1469,0
148,1
1134,1
1307,0
514,1
634,0
366,1
517,0
42,1
535,1
493,1
24,1
1329,1
744,0
777,1
1285,0
906,0
396,0
915,1
1460,1
318,1
319,1
259,1
1147,1
826,1
1023,1
1442,0
34,0
1168,1
980,1
1156,1
82,0
352,0
1362,1
275,1
618,0
1532,1
447,0
1371,1
832,0
703,0
569,1
999,1
175,0
158,0
625,0
339,1
900,0
849,0
485,0
135,0
851,0
789,0
177,1
102,1
457,0
1030,1
888,1
1424,1
479,1
1381,0
616,0
1497,1
1255,0
592,0
1466,1
1526,1
1254,0
451,1
661,0
334,1
1057,0
97,0
1417,1
989,1
1060,1
828,1
1069,0
1473,0
