,classification
282,0
977,0
23,0
828,1
864,0
811,1
991,0
1245,0
1548,0
1525,0
1598,1
575,1
1533,0
1593,1
1572,0
506,1
663,1
49,0
916,0
1569,1
595,0
1591,1
725,0
1257,1
968,1
1038,1
1071,0
1282,1
230,1
1484,0
1281,1
294,1
656,0
1313,1
1382,0
302,0
247,0
857,1
1420,0
1209,1
621,0
911,1
827,0
1528,1
1220,1
394,0
848,0
781,0
843,0
984,0
409,0
411,0
445,1
1197,1
840,1
1419,0
139,0
576,0
774,1
1519,0
1003,1
10,0
1226,0
888,1
813,0
1132,1
845,0
1571,1
878,1
783,0
1137,1
1278,1
1198,1
378,1
225,1
214,1
639,1
1284,0
88,0
1494,1
768,1
502,1
1521,0
540,0
385,1
20,1
606,1
1514,1
971,1
1454,1
14,0
777,1
689,0
192,0
156,0
821,1
466,1
234,1
1589,0
1326,1
1417,1
338,1
1340,1
826,1
202,0
255,0
1297,1
617,1
851,0
885,0
1505,0
652,0
1560,0
485,0
1465,0
820,0
912,1
884,1
111,0
545,0
569,1
925,1
28,0
1185,1
567,1
422,0
1211,0
947,1
1136,1
957,1
1394,0
48,0
71,0
330,1
251,1
469,0
451,1
1259,1
568,1
649,1
651,0
613,0
791,0
401,1
1065,1
1506,1
1128,0
1175,1
1274,1
191,1
752,0
1246,0
468,1
196,0
625,0
986,1
581,0
1020,1
222,0
63,0
1325,1
1301,1
618,0
129,0
755,1
19,1
1067,1
0,0
1415,0
1402,1
1489,1
788,1
194,0
1056,1
1258,1
632,1
691,0
1552,1
1288,0
452,1
1108,0
609,1
773,1
405,1
945,1
784,0
1048,1
1006,1
69,1
119,1
87,0
1432,1
792,1
1118,1
1068,1
1255,0
355,1
951,1
1539,0
541,1
478,0
499,1
1480,0
1158,1
1537,1
563,1
1001,1
770,1
1366,0
1196,1
1557,1
950,1
1098,1
456,0
775,0
1476,0
117,1
731,0
908,1
309,1
1337,0
320,1
319,1
1574,1
608,1
1243,0
728,0
236,1
493,1
1579,0
907,1
371,1
272,0
659,0
859,1
1530,1
847,1
529,0
447,0
350,1
1408,1
1179,1
336,1
438,1
665,0
317,1
1404,1
844,1
1142,1
1041,1
846,0
141,0
345,0
759,0
314,0
1022,0
70,1
1279,1
1112,1
458,1
603,1
370,0
40,0
1523,0
1322,0
74,0
582,0
963,1
1275,1
233,0
1559,0
1393,0
1564,0
344,1
1049,1
570,1
750,0
410,1
1551,0
573,0
1541,1
1122,1
415,0
1498,1
1241,0
548,1
634,0
927,0
35,1
1269,1
1086,1
771,0
1178,0
146,0
867,1
52,1
1058,1
381,1
131,0
917,1
454,0
710,0
747,0
99,1
1578,1
1155,0
1411,1
1201,1
435,0
978,1
930,0
515,0
887,1
