Epoch,Phase,Iteration,Accuracy,Loss
2,Training,8,0.0,0.038376305872372
2,Val,8,0.0,0.05113215870297638
4,Training,16,0.0,0.03483452924811987
4,Val,16,0.0,0.060970133831485536
6,Training,24,0.0,0.03871907834025754
6,Val,24,0.0,0.07136599136662054
8,Training,32,0.0,0.046333043163718494
8,Val,32,0.0,0.06288358362178768
10,Training,40,0.0,0.02429712780260974
10,Val,40,0.0,0.04375000684903215
12,Training,48,0.0,0.04605855392571237
12,Val,48,0.0,0.050568680476691726
14,Training,56,0.0,0.04086120866040486
14,Val,56,0.0,0.050683793404544986
16,Training,64,0.0,0.035779269802007276
16,Val,64,0.0,0.05929710483087322
18,Training,72,0.0,0.04710491387156913
18,Val,72,0.0,0.075476506419676
20,Training,80,0.0,0.040473367789122354
20,Val,80,0.0,0.07317977275781326
22,Training,88,0.0,0.040384964551892305
22,Val,88,0.0,0.0918039936827937
24,Training,96,0.0,0.04856886085914605
24,Val,96,0.0,0.09235756827462482
26,Training,104,0.0,0.04705526322006256
26,Val,104,0.0,0.09894254716438766
28,Training,112,0.0,0.06268907757385715
28,Val,112,0.0,0.10927520495030003
30,Training,120,0.0,0.07457453346953198
30,Val,120,0.0,0.09111770627179311
32,Training,128,0.0,0.06868480720584517
32,Val,128,0.0,0.09779963354781451
34,Training,136,0.0,0.06870697912749049
34,Val,136,0.0,0.1174449380418141
36,Training,144,0.0,0.07354320325784514
36,Val,144,0.0,0.10899763451912077
38,Training,152,0.0,0.07498904043520435
38,Val,152,0.0,0.1044113674729214
40,Training,160,0.0,0.06886203814071622
40,Val,160,0.0,0.09354182921660914
42,Training,168,0.0,0.06309821427379177
42,Val,168,0.0,0.1027656182054677
44,Training,176,0.0,0.07449396515044554
44,Val,176,0.0,0.1055149764555146
46,Training,184,0.0,0.07172852562344346
46,Val,184,0.0,0.10417238721017373
48,Training,192,0.0,0.06557062401154562
48,Val,192,0.0,0.08307240893857357
50,Training,200,0.0,0.06532175297905285
50,Val,200,0.0,0.10614094639054594
52,Training,208,0.0,0.07213254924761986
52,Val,208,0.0,0.07167158102069761
54,Training,216,0.0,0.06292970914238223
54,Val,216,0.0,0.10873095828846756
56,Training,224,0.0,0.07390732343107163
56,Val,224,0.0,0.09746751144812334
58,Training,232,0.0,0.07440476909656236
58,Val,232,0.0,0.10395154313916131
60,Training,240,0.0,0.07186849854717771
60,Val,240,0.0,0.10812170051993523
62,Training,248,0.0,0.06531108758761088
62,Val,248,0.0,0.11403760053583545
64,Training,256,0.0,0.07584250752006473
64,Val,256,0.0,0.10454038300281586
66,Training,264,0.0,0.06780144617403942
66,Val,264,0.0,0.11260911011667352
68,Training,272,0.0,0.06987853479081665
68,Val,272,0.0,0.10351695670367635
70,Training,280,0.0,0.07411078376992962
70,Val,280,0.0,0.10362969312468943
72,Training,288,0.0,0.08103837997759783
72,Val,288,0.0,0.08105459983414237
74,Training,296,0.0,0.07123841823570598
74,Val,296,0.0,0.10833980707362838
76,Training,304,0.0,0.0763814110776688
76,Val,304,0.0,0.10283052878093646
78,Training,312,0.0,0.07597731341979612
78,Val,312,0.0,0.10678797162323152
80,Training,320,0.0,0.074061367716112
80,Val,320,0.0,0.09342805183458847
82,Training,328,0.0,0.0763601800532119
82,Val,328,0.0,0.10550766768759383
84,Training,336,0.0,0.06711517867972769
84,Val,336,0.0,0.11034320657158829
86,Training,344,0.0,0.0696432339144509
86,Val,344,0.0,0.1034142857826738
88,Training,352,0.0,0.07204015906606541
88,Val,352,0.0,0.10562503135634789
90,Training,360,0.0,0.07535658825734078
90,Val,360,0.0,0.109327536975597
92,Training,368,0.0,0.07841670483503314
92,Val,368,0.0,0.10434608125220335
94,Training,376,0.0,0.07639175147624945
94,Val,376,0.0,0.10433891973121512
96,Training,384,0.0,0.0788601064340997
96,Val,384,0.0,0.10541043409188389
98,Training,392,0.0,0.06356907469471373
98,Val,392,0.0,0.10488520683491125
100,Training,400,0.0,0.07284680656749958
100,Val,400,0.0,0.10576252824661504
102,Training,408,0.0,0.07216226614484407
102,Val,408,0.0,0.09214511238347158
104,Training,416,0.0,0.07703585529521055
104,Val,416,0.0,0.10093122630546499
106,Training,424,0.0,0.06148532016233917
106,Val,424,0.0,0.09227916174934074
108,Training,432,0.0,0.07226565250779807
108,Val,432,0.0,0.09990759028150543
110,Training,440,0.0,0.06425633181908208
110,Val,440,0.0,0.10732414171074384
112,Training,448,0.0,0.06910097989853427
112,Val,448,0.0,0.10092826239892087
114,Training,456,0.0,0.07175627300669908
114,Val,456,0.0,0.11553674135987514
116,Training,464,0.0,0.07952348436699097
116,Val,464,0.0,0.09657100227169681
118,Training,472,0.0,0.07393279027583939
118,Val,472,0.0,0.10354434645259057
120,Training,480,0.0,0.0694762463380364
120,Val,480,0.0,0.11112294344555555
122,Training,488,0.0,0.05846241558171523
122,Val,488,0.0,0.11381219141073479
124,Training,496,0.0,0.07476595192655099
124,Val,496,0.0,0.10882548725646819
126,Training,504,0.0,0.06997646364141726
126,Val,504,0.0,0.11433004714348532
128,Training,512,0.0,0.07202215893641704
128,Val,512,0.0,0.10608223017211953
130,Training,520,0.0,0.0738303177051769
130,Val,520,0.0,0.11444289704074216
132,Training,528,0.0,0.07823374330432481
132,Val,528,0.0,0.11247324922752504
134,Training,536,0.0,0.07339440040307932
134,Val,536,0.0,0.11204760573429795
136,Training,544,0.0,0.07465060124487001
136,Val,544,0.0,0.09406716364720874
138,Training,552,0.0,0.06186776344037343
138,Val,552,0.0,0.11425421189480921
140,Training,560,0.0,0.0759680565910494
140,Val,560,0.0,0.10313919171521484
142,Training,568,0.0,0.07972487413485758
142,Val,568,0.0,0.10850073624592756
144,Training,576,0.0,0.051618639991215104
144,Val,576,0.0,0.11551575203084637
146,Training,584,0.0,0.06590609995581596
146,Val,584,0.0,0.10412750989324947
148,Training,592,0.0,0.07815496563927875
148,Val,592,0.0,0.1097855082496082
150,Training,600,0.0,0.07414779931717068
150,Val,600,0.0,0.11406303993547305
152,Training,608,0.0,0.06275735683344932
152,Val,608,0.0,0.10960616330910289
154,Training,616,0.0,0.07807478935477861
154,Val,616,0.0,0.11261485461896636
156,Training,624,0.0,0.07775653403071094
156,Val,624,0.0,0.11833718659932459
158,Training,632,0.0,0.08125683326959855
158,Val,632,0.0,0.10291624814752738
160,Training,640,0.0,0.07809805701554258
160,Val,640,0.0,0.09663517042949972
162,Training,648,0.0,0.07347343534718827
162,Val,648,0.0,0.1114706004706512
164,Training,656,0.0,0.0740899199456846
164,Val,656,0.0,0.095696936421788
166,Training,664,0.0,0.07957505260731025
166,Val,664,0.0,0.08903070257849177
168,Training,672,0.0,0.07153460231944427
168,Val,672,0.0,0.09576582833269288
170,Training,680,0.0,0.06874624897022939
170,Val,680,0.0,0.10822332772902514
172,Training,688,0.0,0.07856675370148507
172,Val,688,0.0,0.10489878498771919
174,Training,696,0.0,0.07101471359528723
174,Val,696,0.0,0.10753042137992613
176,Training,704,0.0,0.08076779290854251
176,Val,704,0.0,0.10695887586639274
178,Training,712,0.0,0.0678006026067657
178,Val,712,0.0,0.10464047996311666
180,Training,720,0.0,0.07370758246847477
180,Val,720,0.0,0.09575139756853641
182,Training,728,0.0,0.07345212094795195
182,Val,728,0.0,0.09910716599086165
184,Training,736,0.0,0.0755086452870618
184,Val,736,0.0,0.10631036749263299
186,Training,744,0.0,0.07840102321254255
186,Val,744,0.0,0.09853037553403458
188,Training,752,0.0,0.07300462404106953
188,Val,752,0.0,0.0984004498162419
190,Training,760,0.0,0.07890103394919956
190,Val,760,0.0,0.0941475895411107
192,Training,768,0.0,0.074498215456392
192,Val,768,0.0,0.10322788002373968
194,Training,776,0.0,0.07128748443100347
194,Val,776,0.0,0.113896060077902
196,Training,784,0.0,0.07596330016751181
196,Val,784,0.0,0.08703400285843958
198,Training,792,0.0,0.07638870369497508
198,Val,792,0.0,0.10840046133932942
200,Training,800,0.0,0.07749815483757487
200,Val,800,0.0,0.09765563499639644
202,Training,808,0.0,0.07504593161798795
202,Val,808,0.0,0.10098784949964719
204,Training,816,0.0,0.07438875656966426
204,Val,816,0.0,0.0885977692351575
206,Training,824,0.0,0.06923609446493363
206,Val,824,0.0,0.11046455376507565
208,Training,832,0.0,0.07258273356812207
208,Val,832,0.0,0.11733984056723169
210,Training,840,0.0,0.08173016458144637
210,Val,840,0.0,0.10412315769878029
212,Training,848,0.0,0.07085402130507355
212,Val,848,0.0,0.12087474142516441
214,Training,856,0.0,0.0724194263786651
214,Val,856,0.0,0.10812977691134178
