Epoch,Phase,Iteration,Accuracy,Loss
4,Training,8,0.5,0.3554247045844155
4,Val,8,0.5,0.3511510538865783
8,Training,16,0.25,0.3763798380638771
8,Val,16,0.75,0.348979651294736
12,Training,24,0.25,0.3514390950498364
12,Val,24,0.5,0.34823947922119186
16,Training,32,0.25,0.3737050326154518
16,Val,32,0.5,0.34785075453093883
20,Training,40,0.25,0.34985822157250684
20,Val,40,0.25,0.34761208847009933
24,Training,48,0.25,0.3502347712218312
24,Val,48,0.5,0.34740464695295714
28,Training,56,0.5,0.3492778094724588
28,Val,56,0.5,0.3472363809831912
32,Training,64,0.25,0.3498191383501025
32,Val,64,0.25,0.34711078264328765
36,Training,72,0.25,0.3709931897416593
36,Val,72,0.5,0.3470367162717477
40,Training,80,0.25,0.37049761884524046
40,Val,80,0.5,0.34698801500191284
44,Training,88,0.25,0.3493844960072362
44,Val,88,0.5,0.34689238032110137
48,Training,96,0.25,0.36940710513702435
48,Val,96,0.5,0.3468599281943897
52,Training,104,0.5,0.3682567044952997
52,Val,104,0.25,0.34680738098604225
56,Training,112,0.5,0.34812389749165645
56,Val,112,0.5,0.3467245970703407
60,Training,120,0.25,0.34803548907482595
60,Val,120,0.5,0.34669570019760254
64,Training,128,0.5,0.34793520300189384
64,Val,128,0.5,0.34667668631416704
68,Training,136,0.25,0.3485819062046621
68,Val,136,0.5,0.3466479064108173
72,Training,144,0.25,0.3660789608652314
72,Val,144,0.5,0.3466153322923818
76,Training,152,0.25,0.36587573366222126
76,Val,152,0.5,0.346603751353503
80,Training,160,0.25,0.36546278696789963
80,Val,160,0.5,0.34658370256907167
84,Training,168,0.25,0.36446320566418133
84,Val,168,0.25,0.346573673320684
88,Training,176,0.5,0.34746438762843446
88,Val,176,0.5,0.3465347571360865
92,Training,184,0.25,0.3644505344440595
92,Val,184,0.25,0.34653993359717217
96,Training,192,0.25,0.3638298665994447
96,Val,192,0.5,0.3465058082040476
100,Training,200,0.25,0.34795977919173093
100,Val,200,0.25,0.3465108537613171
104,Training,208,0.25,0.36313277399065463
104,Val,208,0.5,0.34647589054764494
108,Training,216,0.25,0.3628881279367171
108,Val,216,0.5,0.34646934089021586
112,Training,224,0.5,0.3471835865821349
112,Val,224,0.5,0.34645237625323877
116,Training,232,0.25,0.36228874854552384
116,Val,232,0.75,0.34644733242125025
120,Training,240,0.75,0.3471598411294067
120,Val,240,0.75,0.3464404139626375
124,Training,248,0.25,0.3617289756176909
124,Val,248,0.75,0.3464253206619233
128,Training,256,0.25,0.36140153472487263
128,Val,256,0.5,0.34641399714213117
132,Training,264,0.5,0.34705775900522495
132,Val,264,0.5,0.3464091586159287
136,Training,272,0.75,0.347529932169844
136,Val,272,0.5,0.34640044144953896
140,Training,280,0.75,0.34750704811390376
140,Val,280,0.5,0.34639334070400307
144,Training,288,0.5,0.3469836807185295
144,Val,288,0.5,0.346388111600774
148,Training,296,0.25,0.34741393011635047
148,Val,296,0.5,0.34638432478628467
152,Training,304,0.5,0.3469507443670201
152,Val,304,0.5,0.3463758428572654
156,Training,312,0.25,0.36079363557758315
156,Val,312,0.25,0.34638625996920636
160,Training,320,0.5,0.3473806793568029
160,Val,320,0.5,0.3463700392075772
164,Training,328,0.25,0.36029396369447086
164,Val,328,0.5,0.34636120880842997
168,Training,336,0.5,0.3469278328806814
168,Val,336,0.5,0.3463535680389021
172,Training,344,0.25,0.3472963339762698
172,Val,344,0.5,0.34635202549734717
176,Training,352,0.25,0.3602963879036707
176,Val,352,0.25,0.3463659863993399
180,Training,360,0.25,0.34725862643188554
180,Val,360,0.25,0.34636033840101277
184,Training,368,0.25,0.34723603383349183
184,Val,368,0.25,0.34635276737973986
188,Training,376,0.25,0.34721596211439
188,Val,376,0.25,0.3463471212965952
192,Training,384,0.25,0.35989503663652056
192,Val,384,0.25,0.3463471995209689
196,Training,392,0.5,0.3469012768544408
196,Val,392,0.25,0.34634034108446043
200,Training,400,0.5,0.3468809431266182
200,Val,400,0.5,0.34632619195357606
204,Training,408,0.25,0.3594795919605278
204,Val,408,0.5,0.34632091200914666
208,Training,416,0.5,0.3468698664955099
208,Val,416,0.5,0.3463116842360258
212,Training,424,0.5,0.34686111412016934
212,Val,424,0.5,0.3463094545471242
216,Training,432,0.5,0.34685606396957624
216,Val,432,0.5,0.346307254306213
220,Training,440,0.25,0.3592357897428695
220,Val,440,0.25,0.34630406089595833
224,Training,448,0.5,0.34683846317619504
224,Val,448,0.5,0.34628931491570003
228,Training,456,0.75,0.347141365527591
228,Val,456,0.5,0.346276938065057
232,Training,464,0.25,0.34710282553670324
232,Val,464,0.5,0.3462720657273798
236,Training,472,0.25,0.34709461440520195
236,Val,472,0.25,0.34626961214956264
240,Training,480,0.5,0.34676295244056443
240,Val,480,0.5,0.3462504964533496
244,Training,488,0.25,0.35942905028818495
244,Val,488,0.25,0.3462468283037975
248,Training,496,0.5,0.34709359529034073
248,Val,496,0.5,0.3462262111502967
252,Training,504,0.25,0.346732528024435
252,Val,504,0.5,0.34622031654951285
256,Training,512,0.5,0.3467197573161462
256,Val,512,0.5,0.34619868160636097
260,Training,520,0.5,0.34669825580884994
260,Val,520,0.5,0.34617883650273107
264,Training,528,0.5,0.3466881485000384
264,Val,528,0.5,0.34616870373676767
268,Training,536,0.5,0.34704619160117706
268,Val,536,0.5,0.3461487409602424
272,Training,544,0.5,0.346689383372207
272,Val,544,0.5,0.34612937929259424
276,Training,552,0.5,0.34667746737053284
276,Val,552,0.5,0.3461111271811631
280,Training,560,0.5,0.3593674425812437
280,Val,560,0.5,0.34610534671036775
284,Training,568,0.5,0.34667921809732666
284,Val,568,0.5,0.3460875629194323
288,Training,576,0.75,0.34700377739022714
288,Val,576,0.5,0.3460613685581051
292,Training,584,0.75,0.34699533640261265
292,Val,584,0.5,0.34604131387781345
296,Training,592,0.5,0.34657851779403376
296,Val,592,0.5,0.34601151771311184
300,Training,600,0.5,0.34654988477275234
300,Val,600,0.5,0.3459813643423445
304,Training,608,0.5,0.346524124847147
304,Val,608,0.5,0.3459489062576111
308,Training,616,0.5,0.34656166430554924
308,Val,616,0.5,0.34593323686204525
312,Training,624,0.25,0.3590906106163665
312,Val,624,0.75,0.3459224178372685
316,Training,632,0.75,0.3469046168614184
316,Val,632,0.75,0.3459014203667155
320,Training,640,0.5,0.35925561773501463
320,Val,640,0.75,0.3458684276397094
324,Training,648,0.75,0.3468976766249986
324,Val,648,0.75,0.3458347318743469
328,Training,656,0.5,0.3464721476306329
328,Val,656,0.5,0.3458032688186802
332,Training,664,0.5,0.3464654112948892
332,Val,664,0.5,0.34575422776344444
336,Training,672,0.5,0.3467949047662356
336,Val,672,0.5,0.34573385996224737
340,Training,680,0.75,0.3468105074825196
340,Val,680,0.5,0.34568163802383234
344,Training,688,0.5,0.35913942535446897
344,Val,688,0.5,0.34563738361581586
348,Training,696,0.5,0.35910120531942874
348,Val,696,0.5,0.34559355872861486
352,Training,704,0.5,0.35904562308755233
352,Val,704,0.5,0.34554987485427024
356,Training,712,0.25,0.3588131965147621
356,Val,712,0.5,0.3454782796171362
360,Training,720,0.5,0.34620378361585175
