Epoch,Phase,Iteration,Accuracy,Loss
4,Training,8,0.5,0.36935463499920296
4,Val,8,0.5,0.36464319567290226
8,Training,16,0.5,0.373051522100206
8,Val,16,0.5,0.35331058777054924
12,Training,24,0.25,0.3681826138036418
12,Val,24,0.25,0.34999657922937827
16,Training,32,0.5,0.349012509810923
16,Val,32,0.5,0.3485259380796142
20,Training,40,0.5,0.34878524909178976
20,Val,40,0.5,0.34817577191586524
24,Training,48,0.5,0.3656151874669893
24,Val,48,0.5,0.3480747422133659
28,Training,56,0.5,0.34851473877921224
28,Val,56,0.5,0.34794070005989786
32,Training,64,0.5,0.36528537186555954
32,Val,64,0.5,0.34785867887586963
36,Training,72,0.5,0.34811001320928914
36,Val,72,0.5,0.34776931289767304
40,Training,80,0.5,0.348205859103437
40,Val,80,0.5,0.34767058322793976
44,Training,88,0.5,0.34792180315338606
44,Val,88,0.5,0.3476043585880073
48,Training,96,0.25,0.3648759816168074
48,Val,96,0.5,0.34754434289846836
52,Training,104,0.5,0.34777599126517755
52,Val,104,0.5,0.3474673846846439
56,Training,112,0.5,0.34771120877433975
56,Val,112,0.5,0.34740761219614913
60,Training,120,0.25,0.3645156138969957
60,Val,120,0.5,0.34735222000956645
64,Training,128,0.5,0.3475872016188366
64,Val,128,0.5,0.3472917779095105
68,Training,136,0.25,0.36440584473618953
68,Val,136,0.5,0.34723424173287465
72,Training,144,0.5,0.3476810030436978
72,Val,144,0.5,0.3471782066335821
76,Training,152,0.25,0.36411718067013776
76,Val,152,0.5,0.3471196268603182
80,Training,160,0.25,0.3641124952098117
80,Val,160,0.5,0.34707435905621514
84,Training,168,0.5,0.34751759904193713
84,Val,168,0.5,0.3470268890637771
88,Training,176,0.5,0.34745178855035697
88,Val,176,0.5,0.3469635069156719
92,Training,184,0.5,0.3471876043930896
92,Val,184,0.5,0.34690934349537855
96,Training,192,0.5,0.34734438758495323
96,Val,192,0.5,0.34686362966283835
100,Training,200,0.5,0.34708224312874025
100,Val,200,0.5,0.34680934479331593
104,Training,208,0.5,0.34703140888872747
104,Val,208,0.5,0.34675758082076635
108,Training,216,0.25,0.3634830101939135
108,Val,216,0.5,0.3467050544719276
112,Training,224,0.5,0.34692583200676813
112,Val,224,0.5,0.3466563497510339
116,Training,232,0.5,0.3632450832213783
116,Val,232,0.5,0.3466168189619787
120,Training,240,0.5,0.3468169480734369
120,Val,240,0.5,0.34655158891218557
124,Training,248,0.5,0.34677042973728617
124,Val,248,0.5,0.34650475935552966
128,Training,256,0.5,0.3469188695733643
128,Val,256,0.5,0.3464520234932323
132,Training,264,0.5,0.3468673440785176
132,Val,264,0.5,0.3464044837976694
136,Training,272,0.5,0.3466132895459192
136,Val,272,0.5,0.34634854450405766
140,Training,280,0.5,0.34655812996989543
140,Val,280,0.5,0.346295911388912
144,Training,288,0.75,0.3465088465931435
144,Val,288,0.75,0.34624716186584736
148,Training,296,0.5,0.36248377013442445
148,Val,296,0.75,0.3461876312455424
152,Training,304,0.5,0.3465940078493469
152,Val,304,0.5,0.3461364472068154
156,Training,312,0.5,0.3465426069043673
156,Val,312,0.5,0.3460831744107816
160,Training,320,0.25,0.36226962466495316
160,Val,320,0.5,0.34602200839582925
164,Training,328,0.75,0.3620968507690145
164,Val,328,0.5,0.3459609457119439
168,Training,336,0.5,0.34636143768808814
168,Val,336,0.5,0.34590559381147473
172,Training,344,0.75,0.3462995075579101
172,Val,344,0.75,0.3458421133222087
176,Training,352,0.25,0.3618319639357939
176,Val,352,0.75,0.3457969284759589
180,Training,360,0.75,0.34598961738814465
180,Val,360,0.75,0.34572674095955913
184,Training,368,0.75,0.36155254904481293
184,Val,368,0.75,0.3456375053708379
188,Training,376,0.75,0.3614211984446267
188,Val,376,0.75,0.3455610935704292
192,Training,384,0.25,0.3613563879596793
192,Val,384,0.75,0.34549658006714445
196,Training,392,0.75,0.34587409415842896
196,Val,392,0.75,0.34541724029996246
200,Training,400,0.5,0.34580062558862135
200,Val,400,0.75,0.3453432007058722
204,Training,408,0.5,0.3457267366738912
204,Val,408,0.75,0.34526805618880085
208,Training,416,0.75,0.3608243419917649
208,Val,416,0.5,0.34518091414545427
212,Training,424,0.75,0.3453492549348234
212,Val,424,0.75,0.3450847076460282
216,Training,432,0.75,0.3454537717700378
216,Val,432,0.75,0.34499504799299185
220,Training,440,0.5,0.34536326655213034
220,Val,440,0.75,0.3449016420711488
224,Training,448,0.75,0.3450657839501835
224,Val,448,0.75,0.34480100893222293
228,Training,456,0.75,0.3451711491183607
228,Val,456,0.75,0.34470564219112015
232,Training,464,0.75,0.34485810024650576
232,Val,464,0.75,0.34459091013583254
236,Training,472,0.75,0.34474623258741033
